# Pin Out For ECP5-5G-85,,,,,,,,,,
# Revision 0.0,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,
,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA756,CABGA554,CABGA381,CSFBGA285
113,PL62D,6,-,Comp_OF_PL62C,-,LDQ65,U3,-,-,-
114,PL65A,6,-,True_OF_PL65B,TRUE,LDQS65,R1,-,-,-
115,VCC,-,-,-,-,-,-,-,-,-
116,PL65C,6,-,True_OF_PL65D,-,LDQ65,W3,-,-,-
117,PL65B,6,-,Comp_OF_PL65A,TRUE,LDQSN65,T2,-,-,-
118,VSS,-,-,-,-,-,-,-,-,-
119,PL65D,6,-,Comp_OF_PL65C,-,LDQ65,Y3,-,-,-
120,PL68A,6,-,True_OF_PL68B,TRUE,LDQ65,T1,-,-,-
121,VSSIO6,-,-,-,-,-,-,-,-,-
122,PL68C,6,-,True_OF_PL68D,-,LDQ65,V1,-,-,-
123,PL68B,6,-,Comp_OF_PL68A,TRUE,LDQ65,U1,-,-,-
124,VCCIO6,-,-,-,-,-,-,-,-,-
125,PL68D,6,-,Comp_OF_PL68C,-,LDQ65,W1,-,-,-
126,PL71A,6,-,True_OF_PL71B,TRUE,LDQ77,Y7,P4,-,-
127,VSSIO6,-,-,-,-,-,-,-,-,-
128,PL71C,6,-,True_OF_PL71D,-,LDQ77,Y5,P6,-,-
129,PL71B,6,-,Comp_OF_PL71A,TRUE,LDQ77,Y6,P5,-,-
130,VCCIO6,-,-,-,-,-,-,-,-,-
131,PL71D,6,-,Comp_OF_PL71C,-,LDQ77,W5,N4,-,-
132,PL74A,6,-,True_OF_PL74B,TRUE,LDQ77,Y4,R4,-,-
133,VCCAUX,-,-,-,-,-,-,-,-,-
134,PL74C,6,-,True_OF_PL74D,-,LDQ77,AB7,R6,-,-
135,PL74B,6,-,Comp_OF_PL74A,TRUE,LDQ77,W4,T5,-,-
136,VSS,-,-,-,-,-,-,-,-,-
137,PL74D,6,-,Comp_OF_PL74C,-,LDQ77,AC6,T4,-,-
138,PL77A,6,-,True_OF_PL77B,TRUE,LDQS77,AB5,V4,M5,-
139,VCC,-,-,-,-,-,-,-,-,-
140,PL77C,6,-,True_OF_PL77D,-,LDQ77,AC7,U6,-,-
141,PL77B,6,-,Comp_OF_PL77A,TRUE,LDQSN77,AB6,U5,-,-
142,VSS,-,-,-,-,-,-,-,-,-
143,PL77D,6,-,Comp_OF_PL77C,-,LDQ77,AD7,U4,-,-
144,PL80A,6,-,True_OF_PL80B,TRUE,LDQ77,AD6,W4,-,-
145,VSSIO6,-,-,-,-,-,-,-,-,-
146,PL80C,6,-,True_OF_PL80D,-,LDQ77,AE5,W5,-,-
147,PL80B,6,-,Comp_OF_PL80A,TRUE,LDQ77,AE6,V6,-,-
148,VCCIO6,-,-,-,-,-,-,-,-,-
149,PL80D,6,-,Comp_OF_PL80C,-,LDQ77,AE4,W6,-,-
150,PL83A,6,-,True_OF_PL83B,TRUE,LDQ89,AB3,T3,M4,-
151,VSSIO6,-,-,-,-,-,-,-,-,-
152,PL83C,6,-,True_OF_PL83D,-,LDQ89,AC5,R3,N4,J17
153,PL83B,6,-,Comp_OF_PL83A,TRUE,LDQ89,AB4,U3,N5,-
154,VCCIO6,-,-,-,-,-,-,-,-,-
155,PL83D,6,-,Comp_OF_PL83C,-,LDQ89,AD4,P3,P5,H18
156,PL86A,6,-,True_OF_PL86B,TRUE,LDQ89,W2,P2,N3,J18
157,VCCAUX,-,-,-,-,-,-,-,-,-
158,PL86C,6,-,True_OF_PL86D,-,LDQ89,AD3,T2,L3,K16
159,PL86B,6,-,Comp_OF_PL86A,TRUE,LDQ89,Y1,P1,M3,K18
160,VSS,-,-,-,-,-,-,-,-,-
161,PL86D,6,-,Comp_OF_PL86C,-,LDQ89,AE3,R1,L2,K15
162,PL89A,6,-,True_OF_PL89B,TRUE,LDQS89,AC3,V1,N2,K17
163,VCC,-,-,-,-,-,-,-,-,-
164,PL89C,6,-,True_OF_PL89D,-,LDQ89,AC2,U1,L1,L15
165,PL89B,6,-,Comp_OF_PL89A,TRUE,LDQSN89,AB2,U2,M1,L18
166,VSS,-,-,-,-,-,-,-,-,-
167,PL89D,6,-,Comp_OF_PL89C,-,LDQ89,AE2,T1,N1,L16
168,PL92A,6,-,True_OF_PL92B,TRUE,LDQ89,AB1,V3,P1,-
169,VSSIO6,-,-,-,-,-,-,-,-,-
170,PL92B,6,-,Comp_OF_PL92A,TRUE,LDQ89,AC1,W1,P2,-
171,VCCIO6,-,-,-,-,-,-,-,-,-
172,PL92C,6,LLC_GPLL0T_IN,True_OF_PL92D,-,LDQ89,AD1,W2,P3,M16
173,PL92D,6,LLC_GPLL0C_IN,Comp_OF_PL92C,-,LDQ89,AE1,W3,P4,M17
174,NC,-,-,-,-,-,-,-,-,-
175,NC,-,-,-,-,-,-,-,-,-
176,GND,-,-,-,-,-,-,-,-,-
177,VCC,-,-,-,-,-,-,-,-,-
178,VCC,-,-,-,-,-,-,-,-,-
179,VSS,-,-,-,-,-,-,-,-,-
180,PB4A,8,D7/IO7,True_OF_PB4B,-,-,AG1,AA1,R1,N15
181,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,AJ1,AC1,U1,N17
182,VCC,-,-,-,-,-,-,-,-,-
183,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,AH1,AB1,T1,N16
184,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,AK1,AD1,V1,M18
185,VSS,-,-,-,-,-,-,-,-,-
186,PB9A,8,D3/IO3,True_OF_PB9B,-,-,AL1,AE1,W1,N18
187,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,AJ2,AD2,V2,T18
188,VSSIO8,-,-,-,-,-,-,-,-,-
189,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,AM2,AF2,Y2,R18
190,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,AK2,AE2,W2,U18
191,VCCIO8,-,-,-,-,-,-,-,-,-
192,PB13A,8,SN/CSN,True_OF_PB13B,-,-,AG3,AB2,T2,R17
193,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,AJ3,AA2,R2,U17
194,VSSIO8,-,-,-,-,-,-,-,-,-
195,PB13B,8,CS1N,Comp_OF_PB13A,-,-,AH3,AC2,U2,T17
196,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,AK3,AB3,R3,V17
197,VCCIO8,-,-,-,-,-,-,-,-,-
198,PB18A,8,WRITEN,-,-,-,AL3,AD3,T3,R16
199,INITN,8,-,-,-,-,AG4,AF3,V3,V16
200,VCCAUX,-,-,-,-,-,-,-,-,-
201,CCLK,8,MCLK/SCK,-,-,-,AM3,AE3,U3,U16
202,PROGRAMN,8,-,-,-,-,AH4,AB4,W3,T15
203,VSS,-,-,-,-,-,-,-,-,-
204,DONE,8,-,-,-,-,AJ4,AC4,Y3,U15
205,CFG_1,8,-,-,-,-,AL4,AE4,T4,T14
206,VCC,-,-,-,-,-,-,-,-,-
207,CFG_2,8,-,-,-,-,AK4,AD4,R4,V15
208,CFG_0,8,-,-,-,-,AM4,AF4,U4,U14
209,VSS,-,-,-,-,-,-,-,-,-
210,TDO,40,-,-,-,-,AG5,AB5,V4,V14
211,TCK,40,-,-,-,-,AK5,AD5,T5,U13
212,VSSIO8,-,-,-,-,-,-,-,-,-
213,TDI,40,-,-,-,-,AJ5,AC5,R5,T13
214,TMS,40,-,-,-,-,AM5,AE5,U5,V13
215,VCCIO8,-,-,-,-,-,-,-,-,-
216,VCC,-,-,-,-,-,-,-,-,-
217,VCC,-,-,-,-,-,-,-,-,-
218,VSS,-,-,-,-,-,-,-,-,-
219,VSS,-,-,-,-,-,-,-,-,-
220,VCC,-,-,-,-,-,-,-,-,-
221,VCC,-,-,-,-,-,-,-,-,-
222,VSSA0_D0CH0,-,-,-,-,-,-,-,-,-
223,VCCATX0_D0CH0,-,-,-,-,-,-,-,-,-
224,HDTXP0_D0CH0,50,-,True_OF_HDTXN0_D0CH0,-,-,AK9,AD7,W4,V12
225,VCCHTX0_D0CH0,-,-,-,-,-,AC13,W10,T7,U12
226,HDTXN0_D0CH0,50,-,Comp_OF_HDTXP0_D0CH0,-,-,AK10,AD8,W5,V11
227,VSSA0_D0CH0,-,-,-,-,-,-,-,-,-
228,VCCARX0_D0CH0,-,-,-,-,-,-,-,-,-
229,HDRXP0_D0CH0,50,-,True_OF_HDRXN0_D0CH0,-,-,AM8,AF6,Y5,V9
230,VCCARX0_D0CH0,-,-,-,-,-,-,-,-,-
231,VCCHRX0_D0CH0,-,-,-,-,-,AC14,W11,T8,U8
232,HDRXN0_D0CH0,50,-,Comp_OF_HDRXP0_D0CH0,-,-,AM9,AF7,Y6,V8
233,VSSA0_D0CH0,-,-,-,-,-,-,-,-,-
234,VSSA1_D0CH1,-,-,-,-,-,-,-,-,-
235,HDRXP0_D0CH1,50,-,True_OF_HDRXN0_D0CH1,-,-,AM11,AF9,Y7,V6
236,VCCARX1_D0CH1,-,-,-,-,-,-,-,-,-
237,VCCHRX1_D0CH1,-,-,-,-,-,AC15,W12,T9,U6
238,HDRXN0_D0CH1,50,-,Comp_OF_HDRXP0_D0CH1,-,-,AM12,AF10,Y8,V5
239,VCCARX1_D0CH1,-,-,-,-,-,-,-,-,-
240,VSSA1_D0CH1,-,-,-,-,-,-,-,-,-
241,HDTXP0_D0CH1,50,-,True_OF_HDTXN0_D0CH1,-,-,AK12,AD10,W8,V3
242,VCCHTX1_D0CH1,-,-,-,-,-,AC16,W13,T10,T5
243,HDTXN0_D0CH1,50,-,Comp_OF_HDTXP0_D0CH1,-,-,AK13,AD11,W9,V2
244,VCCATX1_D0CH1,-,-,-,-,-,-,-,-,-
245,VSSA1_D0CH1,-,-,-,-,-,-,-,-,-
246,RESERVED,-,-,True_OF_ATSTN_D0,-,-,AK15,AD13,W10,-
247,VCCA_D0,-,-,-,-,-,-,-,-,-
248,RESERVED,-,-,Comp_OF_ATSTP_D0,-,-,AK16,AD14,W11,-
249,VSSA_D0,-,-,-,-,-,-,-,-,-
250,VSSA_D0,-,-,-,-,-,-,-,-,-
251,REFCLKP_D0,50,-,True_OF_REFCLKN_D0,-,-,AM14,AF12,Y11,U1
252,VCCA25_D0,-,-,-,-,-,-,-,-,-
253,REFCLKN_D0,50,-,Comp_OF_REFCLKP_D0,-,-,AM15,AF13,Y12,T1
254,VSSA0_D1CH0,-,-,-,-,-,-,-,-,-
255,VCCATX0_D1CH0,-,-,-,-,-,-,-,-,-
256,HDTXP0_D1CH0,51,-,True_OF_HDTXN0_D1CH0,-,-,AK18,AD16,W13,-
257,VCCHTX0_D1CH0,-,-,-,-,-,AC17,W14,T11,-
258,HDTXN0_D1CH0,51,-,Comp_OF_HDTXP0_D1CH0,-,-,AK19,AD17,W14,-
259,VSSA0_D1CH0,-,-,-,-,-,-,-,-,-
260,VCCARX0_D1CH0,-,-,-,-,-,-,-,-,-
261,HDRXP0_D1CH0,51,-,True_OF_HDRXN0_D1CH0,-,-,AM17,AF15,Y14,-
262,VCCARX0_D1CH0,-,-,-,-,-,-,-,-,-
263,VCCHRX0_D1CH0,-,-,-,-,-,AC18,W15,T12,-
264,HDRXN0_D1CH0,51,-,Comp_OF_HDRXP0_D1CH0,-,-,AM18,AF16,Y15,-
265,VSSA0_D1CH0,-,-,-,-,-,-,-,-,-
266,VSSA1_D1CH1,-,-,-,-,-,-,-,-,-
267,HDRXP0_D1CH1,51,-,True_OF_HDRXN0_D1CH1,-,-,AM20,AF18,Y16,-
268,VCCARX1_D1CH1,-,-,-,-,-,-,-,-,-
269,VCCHRX1_D1CH1,-,-,-,-,-,AC19,W16,T13,-
270,HDRXN0_D1CH1,51,-,Comp_OF_HDRXP0_D1CH1,-,-,AM21,AF19,Y17,-
271,VCCARX1_D1CH1,-,-,-,-,-,-,-,-,-
272,VSSA1_D1CH1,-,-,-,-,-,-,-,-,-
273,HDTXP0_D1CH1,51,-,True_OF_HDTXN0_D1CH1,-,-,AK21,AD19,W17,-
274,VCCHTX1_D1CH1,-,-,-,-,-,AC20,W17,T14,-
275,HDTXN0_D1CH1,51,-,Comp_OF_HDTXP0_D1CH1,-,-,AK22,AD20,W18,-
276,VCCATX1_D1CH1,-,-,-,-,-,-,-,-,-
277,VSSA1_D1CH1,-,-,-,-,-,-,-,-,-
278,RESERVED,-,-,True_OF_ATSTN_D1,-,-,AK24,AD22,-,-
279,VCCA_D1,-,-,-,-,-,-,-,-,-
280,RESERVED,-,-,Comp_OF_ATSTP_D1,-,-,AK25,AD23,-,-
281,VSSA_D1,-,-,-,-,-,-,-,-,-
282,VSSA_D1,-,-,-,-,-,-,-,-,-
283,REFCLKP_D1,51,-,True_OF_REFCLKN_D1,-,-,AM23,AF21,Y19,-
284,VCCA25_D1,-,-,-,-,-,-,-,-,-
285,REFCLKN_D1,51,-,Comp_OF_REFCLKP_D1,-,-,AM24,AF22,W20,-
286,VCC,-,-,-,-,-,-,-,-,-
287,VCC,-,-,-,-,-,-,-,-,-
288,VSS,-,-,-,-,-,-,-,-,-
289,VSS,-,-,-,-,-,-,-,-,-
290,PB96A,4,-,True_OF_PB96B,-,-,AM28,-,-,-
291,PB98A,4,-,True_OF_PB98B,-,-,AL28,-,-,-
292,VCC,-,-,-,-,-,-,-,-,-
293,PB96B,4,-,Comp_OF_PB96A,-,-,AM29,-,-,-
294,PB98B,4,-,Comp_OF_PB98A,-,-,AK28,-,-,-
295,VSS,-,-,-,-,-,-,-,-,-
296,PB101A,4,-,True_OF_PB101B,-,-,AK32,-,-,-
297,PB103A,4,-,True_OF_PB103B,-,-,AM30,-,-,-
298,VSSIO4,-,-,-,-,-,-,-,-,-
299,PB101B,4,-,Comp_OF_PB101A,-,-,AJ32,-,-,-
300,PB103B,4,-,Comp_OF_PB103A,-,-,AL30,-,-,-
301,VCCIO4,-,-,-,-,-,-,-,-,-
302,PB105A,4,-,True_OF_PB105B,-,-,AK31,-,-,-
303,PB107A,4,-,True_OF_PB107B,-,-,AM31,AA22,-,-
304,VSSIO4,-,-,-,-,-,-,-,-,-
305,PB105B,4,-,Comp_OF_PB105A,-,-,AJ31,-,-,-
306,PB107B,4,-,Comp_OF_PB107A,-,-,AL32,AA23,-,-
307,VCCIO4,-,-,-,-,-,-,-,-,-
308,PB110A,4,-,True_OF_PB110B,-,-,AG28,AB24,-,-
309,PB112A,4,-,True_OF_PB112B,-,-,AJ28,AB25,-,-
310,VCCAUX,-,-,-,-,-,-,-,-,-
311,PB110B,4,-,Comp_OF_PB110A,-,-,AG29,AA24,-,-
312,PB112B,4,-,Comp_OF_PB112A,-,-,AH28,AA25,-,-
313,VSS,-,-,-,-,-,-,-,-,-
314,PB114A,4,-,True_OF_PB114B,-,-,AH30,AE25,-,-
315,PB116A,4,-,True_OF_PB116B,-,-,AK29,AF25,-,-
316,VCC,-,-,-,-,-,-,-,-,-
317,PB114B,4,-,Comp_OF_PB114A,-,-,AG30,AD25,-,-
318,PB116B,4,-,Comp_OF_PB116A,-,-,AK30,AE26,-,-
319,VSS,-,-,-,-,-,-,-,-,-
320,PB119A,4,-,True_OF_PB119B,-,-,AH32,AD26,-,-
321,PB121A,4,-,True_OF_PB121B,-,-,AJ29,AB26,-,-
322,VSSIO4,-,-,-,-,-,-,-,-,-
323,PB119B,4,-,Comp_OF_PB119A,-,-,AG32,AC26,-,-
324,PB121B,4,-,Comp_OF_PB121A,-,-,AJ30,AA26,-,-
325,VCCIO4,-,-,-,-,-,-,-,-,-
326,VCC,-,-,-,-,-,-,-,-,-
327,VCC,-,-,-,-,-,-,-,-,-
328,VSS,-,-,-,-,-,-,-,-,-
329,GND,-,-,-,-,-,-,-,-,-
330,NC,-,-,-,-,-,-,-,-,-
331,NC,-,-,-,-,-,-,-,-,-
332,PR92D,3,LRC_GPLL0C_IN,Comp_OF_PR92C,-,RDQ89,AE32,W24,T17,N1
333,PR92C,3,LRC_GPLL0T_IN,True_OF_PR92D,-,RDQ89,AD32,W25,U16,M1
334,VCCIO3,-,-,-,-,-,-,-,-,-
335,PR92B,3,-,Comp_OF_PR92A,TRUE,RDQ89,AC32,W26,U17,-
336,VSSIO3,-,-,-,-,-,-,-,-,-
337,PR92A,3,-,True_OF_PR92B,TRUE,RDQ89,AB32,V24,U18,-
338,PR89D,3,-,Comp_OF_PR89C,-,RDQ89,AE31,T26,T18,N2
339,VSS,-,-,-,-,-,-,-,-,-
340,PR89B,3,-,Comp_OF_PR89A,TRUE,RDQSN89,AB31,U25,R18,L1
341,PR89C,3,-,True_OF_PR89D,-,RDQ89,AC31,U26,U19,M2
342,VCC,-,-,-,-,-,-,-,-,-
343,PR89A,3,-,True_OF_PR89B,TRUE,RDQS89,AC30,V26,T19,K2
344,PR86D,3,-,Comp_OF_PR86C,-,RDQ89,AE30,R26,U20,K1
345,VSS,-,-,-,-,-,-,-,-,-
346,PR86B,3,-,Comp_OF_PR86A,TRUE,RDQ89,Y32,P26,R20,L3
347,PR86C,3,-,True_OF_PR86D,-,RDQ89,AD30,T25,T20,K3
348,VCCAUX,-,-,-,-,-,-,-,-,-
349,PR86A,3,-,True_OF_PR86B,TRUE,RDQ89,W31,P25,P20,M3
350,PR83D,3,-,Comp_OF_PR83C,-,RDQ89,AD29,P24,P18,N3
351,VCCIO3,-,-,-,-,-,-,-,-,-
352,PR83B,3,-,Comp_OF_PR83A,TRUE,RDQ89,AB29,U24,N20,L4
353,PR83C,3,-,True_OF_PR83D,-,RDQ89,AC28,R24,P19,N4
354,VSSIO3,-,-,-,-,-,-,-,-,-
355,PR83A,3,-,True_OF_PR83B,TRUE,RDQ89,AB30,T24,N19,K4
356,PR80D,3,-,Comp_OF_PR80C,-,RDQ77,AE29,W21,-,-
357,VCCIO3,-,-,-,-,-,-,-,-,-
358,PR80B,3,-,Comp_OF_PR80A,TRUE,RDQ77,AE27,V21,-,-
359,PR80C,3,-,True_OF_PR80D,-,RDQ77,AE28,W22,-,-
360,VSSIO3,-,-,-,-,-,-,-,-,-
361,PR80A,3,-,True_OF_PR80B,TRUE,RDQ77,AD27,W23,-,-
362,PR77D,3,-,Comp_OF_PR77C,-,RDQ77,AD26,U23,-,-
363,VSS,-,-,-,-,-,-,-,-,-
364,PR77B,3,-,Comp_OF_PR77A,TRUE,RDQSN77,AB27,U22,-,-
365,PR77C,3,-,True_OF_PR77D,-,RDQ77,AC26,U21,-,-
366,VCC,-,-,-,-,-,-,-,-,-
367,PR77A,3,-,True_OF_PR77B,TRUE,RDQS77,AB28,V23,T16,-
368,PR74D,3,-,Comp_OF_PR74C,-,RDQ77,AC27,T23,-,-
369,VSS,-,-,-,-,-,-,-,-,-
370,PR74B,3,-,Comp_OF_PR74A,TRUE,RDQ77,W29,T22,-,-
371,PR74C,3,-,True_OF_PR74D,-,RDQ77,AB26,R21,-,-
372,VCCAUX,-,-,-,-,-,-,-,-,-
373,PR74A,3,-,True_OF_PR74B,TRUE,RDQ77,Y29,R23,-,-
